episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
425.0,225.0,322.5,1588.1,13,5000,False,115000,263,23,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-29-58,1579678198,5.6397600173950195,139.88152742385864,3564,ip-172-31-17-119,172.31.17.119,139.88152742385864,115000,23,10,59606e94,2_env=QbertNoFrameskip-v4,115000,115000,1820.064,696.989,3149.398,11.954,22.3625,6.9875,0.31640625,4.999999873689376e-05,0.11258131,0.0056100544,0.106801406,0.91925746,0.021020131,0.6481042,0.009999999776482582
850.0,200.0,326.25,1605.86,16,5000,False,120000,279,24,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-04,1579678204,5.76091742515564,145.64244484901428,3564,ip-172-31-17-119,172.31.17.119,145.64244484901428,120000,24,10,59606e94,2_env=QbertNoFrameskip-v4,120000,120000,1829.558,697.037,3147.617,11.787,23.499999999999996,6.9625,0.474609375,4.999999873689376e-05,0.108604684,-0.0033701144,0.113379076,0.91538507,0.010731663,0.649762,0.009999999776482582
850.0,175.0,326.0,1608.99,8,5000,False,125000,287,25,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-10,1579678210,5.670157432556152,151.31260228157043,3564,ip-172-31-17-119,172.31.17.119,151.31260228157043,125000,25,10,59606e94,2_env=QbertNoFrameskip-v4,125000,125000,1822.385,687.691,3147.716,11.436,23.31111111111111,6.955555555555556,0.474609375,4.999999873689376e-05,0.14771788,-0.0035266369,0.15197374,0.8762706,0.0112992,0.60919154,0.009999999776482582
850.0,175.0,327.25,1591.09,15,5000,False,130000,302,26,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-15,1579678215,5.869716167449951,157.18231844902039,3564,ip-172-31-17-119,172.31.17.119,157.18231844902039,130000,26,10,59606e94,2_env=QbertNoFrameskip-v4,130000,130000,1833.955,691.816,3153.587,11.33,23.3375,6.975,0.474609375,4.999999873689376e-05,0.13312635,-0.002695943,0.13747698,0.8965686,0.01001808,0.640937,0.009999999776482582
950.0,175.0,334.25,1618.25,18,5000,False,135000,320,27,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-21,1579678221,5.7269322872161865,162.90925073623657,3564,ip-172-31-17-119,172.31.17.119,162.90925073623657,135000,27,10,59606e94,2_env=QbertNoFrameskip-v4,135000,135000,1838.341,692.645,3151.601,11.057,23.7875,6.9625,0.474609375,4.999999873689376e-05,0.09352915,-0.010834438,0.106648244,0.9270319,0.008887766,0.6502873,0.009999999776482582
950.0,175.0,335.5,1616.96,10,5000,False,140000,330,28,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-27,1579678227,5.668378591537476,168.57762932777405,3564,ip-172-31-17-119,172.31.17.119,168.57762932777405,140000,28,10,59606e94,2_env=QbertNoFrameskip-v4,140000,140000,1841.809,691.982,3149.561,10.93,22.937499999999996,6.975,0.474609375,4.999999873689376e-05,0.10476593,-0.009642445,0.11761743,0.90247554,0.006653201,0.63667274,0.009999999776482582
950.0,175.0,338.25,1619.23,11,5000,False,145000,341,29,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-33,1579678233,5.797467947006226,174.37509727478027,3564,ip-172-31-17-119,172.31.17.119,174.37509727478027,145000,29,10,59606e94,2_env=QbertNoFrameskip-v4,145000,145000,1849.14,696.563,3151.173,11.083,23.625,6.987500000000001,0.474609375,4.999999873689376e-05,0.1305054,-0.0035098144,0.13502178,0.8927082,0.0117172245,0.6567675,0.009999999776482582
950.0,175.0,338.25,1603.41,17,5000,False,150000,358,30,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-38,1579678238,5.762014389038086,180.13711166381836,3564,ip-172-31-17-119,172.31.17.119,180.13711166381836,150000,30,10,59606e94,2_env=QbertNoFrameskip-v4,150000,150000,1850.871,680.98,3150.468,11.155,22.46666666666667,6.966666666666667,0.474609375,4.999999873689376e-05,0.10833581,-0.0044215596,0.1139582,0.9180236,0.011002834,0.6422891,0.009999999776482582
950.0,175.0,339.5,1604.83,9,5000,False,155000,367,31,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-44,1579678244,5.6852381229400635,185.82234978675842,3564,ip-172-31-17-119,172.31.17.119,185.82234978675842,155000,31,10,59606e94,2_env=QbertNoFrameskip-v4,155000,155000,1854.059,679.104,3153.143,11.244,23.200000000000003,6.9875,0.474609375,4.999999873689376e-05,0.10276524,-0.0075681433,0.11268164,0.9134222,0.007518957,0.5916834,0.009999999776482582
950.0,175.0,334.0,1604.49,12,5000,False,160000,379,32,72fd9fa7776e4b35bd397837c78e1dc0,2020-01-22_07-30-50,1579678250,5.783395528793335,191.60574531555176,3564,ip-172-31-17-119,172.31.17.119,191.60574531555176,160000,32,10,59606e94,2_env=QbertNoFrameskip-v4,160000,160000,1857.328,679.693,3153.596,11.162,22.6875,7.0,0.474609375,4.999999873689376e-05,0.100389406,-0.0052622096,0.10635104,0.9183453,0.010163622,0.55231786,0.009999999776482582
