episode_reward_mean,episode_len_mean,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,info/weights_norm,info/grad_norm,info/update_ratio,info/episodes_this_iter,info/episodes_so_far,perf/cpu_util_percent,perf/ram_util_percent
513.7679,110.66666666666667,110044,False,2256804,,28,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-15,1587585795,3.55702543258667,99.16253995895386,91836,ip-172-31-19-219,172.31.19.219,99.16253995895386,2256804,28,00000,0,913.5714,12.47495,0.03166577,1140,31330,67.1,15.1
513.7679,nan,111347,False,2368151,,29,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-19,1587585799,3.5821917057037354,102.74473166465759,91836,ip-172-31-19-219,172.31.19.219,102.74473166465759,2368151,29,00000,0,921.79034,11.36306,0.031235611,1140,32470,67.62,15.1
520.30774,114.0,109413,False,2477564,,30,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-22,1587585802,3.468296766281128,106.21302843093872,91836,ip-172-31-19-219,172.31.19.219,106.21302843093872,2477564,30,00000,0,929.7918,11.722363,0.03095644,1142,33612,66.36,15.1
535.4419,108.0,108798,False,2586362,,31,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-26,1587585806,3.562777280807495,109.77580571174622,91836,ip-172-31-19-219,172.31.19.219,109.77580571174622,2586362,31,00000,0,937.4701,11.1156435,0.03056583,1144,34756,66.46,15.1
550.3641,119.66666666666667,110158,False,2696520,,32,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-30,1587585810,3.698370933532715,113.47417664527893,91836,ip-172-31-19-219,172.31.19.219,113.47417664527893,2696520,32,00000,0,944.8449,10.946894,0.030214407,1140,35896,56.5,15.1
550.3641,nan,111945,False,2808465,,33,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-33,1587585813,3.660886526107788,117.13506317138672,91836,ip-172-31-19-219,172.31.19.219,117.13506317138672,2808465,33,00000,0,951.9426,12.312093,0.030202016,1142,37038,68.08,15.14
565.1283,117.25,113684,False,2922149,,34,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-37,1587585817,3.867630958557129,121.00269412994385,91836,ip-172-31-19-219,172.31.19.219,121.00269412994385,2922149,34,00000,0,958.832,12.957071,0.030273924,1140,38178,69.58,15.1
568.4304,121.0,114108,False,3036257,,35,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-41,1587585821,3.6879498958587646,124.69064402580261,91836,ip-172-31-19-219,172.31.19.219,124.69064402580261,3036257,35,00000,0,965.5815,12.12718,0.03018075,1142,39320,58.666666666666664,15.1
574.4753,120.5,113551,False,3149808,,36,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-45,1587585825,3.7965316772460938,128.4871757030487,91836,ip-172-31-19-219,172.31.19.219,128.4871757030487,3149808,36,00000,0,972.30176,12.66066,0.030193519,1140,40460,69.29999999999998,15.1
560.90936,106.5,114422,False,3264230,,37,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-49,1587585829,3.9717745780944824,132.4589502811432,91836,ip-172-31-19-219,172.31.19.219,132.4589502811432,3264230,37,00000,0,978.92505,12.915274,0.030200126,1142,41602,58.98333333333334,15.1
568.36914,117.0,116004,False,3380234,,38,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-52,1587585832,3.7817280292510986,136.2406783103943,91836,ip-172-31-19-219,172.31.19.219,136.2406783103943,3380234,38,00000,0,985.513,11.166601,0.029824138,1142,42744,70.86,15.1
585.4485,129.0,117080,False,3497314,,39,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-03-56,1587585836,3.8498659133911133,140.0905442237854,91836,ip-172-31-19-219,172.31.19.219,140.0905442237854,3497314,39,00000,0,991.95386,11.82176,0.029670682,1142,43886,63.35999999999999,15.1
585.4485,nan,115981,False,3613295,,40,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-00,1587585840,3.680624008178711,143.7711682319641,91836,ip-172-31-19-219,172.31.19.219,143.7711682319641,3613295,40,00000,0,998.1401,12.353384,0.029614346,1140,45026,66.16666666666667,15.133333333333333
595.43176,120.5,117369,False,3730664,,41,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-04,1587585844,3.9026153087615967,147.6737835407257,91836,ip-172-31-19-219,172.31.19.219,147.6737835407257,3730664,41,00000,0,1004.1697,12.364529,0.029522812,1140,46166,67.02000000000001,15.1
597.78577,111.33333333333333,117036,False,3847700,,42,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-08,1587585848,3.8373587131500244,151.51114225387573,91836,ip-172-31-19-219,172.31.19.219,151.51114225387573,3847700,42,00000,0,1009.944,10.997583,0.02917503,1140,47306,63.5,15.116666666666667
603.62384,120.0,117738,False,3965438,,43,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-11,1587585851,3.751814603805542,155.26295685768127,91836,ip-172-31-19-219,172.31.19.219,155.26295685768127,3965438,43,00000,0,1015.58325,12.088251,0.029108724,1144,48450,72.1,15.1
589.77893,98.0,119834,False,4085272,,44,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-15,1587585855,3.7198736667633057,158.98283052444458,91836,ip-172-31-19-219,172.31.19.219,158.98283052444458,4085272,44,00000,0,1021.00574,12.1289215,0.029085608,1140,49590,66.35999999999999,15.1
591.59656,121.0,118981,False,4204253,,45,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-19,1587585859,3.849062442779541,162.83189296722412,91836,ip-172-31-19-219,172.31.19.219,162.83189296722412,4204253,45,00000,0,1026.3611,12.217541,0.029074531,1140,50730,67.78333333333333,15.1
580.96185,101.0,121153,False,4325406,,46,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-23,1587585863,4.165913820266724,166.99780678749084,91836,ip-172-31-19-219,172.31.19.219,166.99780678749084,4325406,46,00000,0,1031.6647,11.739942,0.028890729,1140,51870,62.23333333333333,15.116666666666667
572.74896,108.0,121357,False,4446763,,47,2fc7ae764cca4450805d8221760b3992,2020-04-22_20-04-27,1587585867,3.970137596130371,170.96794438362122,91836,ip-172-31-19-219,172.31.19.219,170.96794438362122,4446763,47,00000,0,1036.8304,12.466705,0.028899273,1140,53010,62.41666666666668,15.116666666666667
